                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2625,                0.85043,                0.95721,                0.70364,                0.51941,                0.58859,                0.35944,                 1.1525,                0.66479,                0.96825,               0.003268,               0.003268,               0.003268
                     37,                  1.255,                0.84216,                0.95485,                0.68258,                0.52799,                0.58883,                0.36118,                 1.1491,                0.66319,                0.96603,                0.00307,                0.00307,                0.00307
                     38,                 1.2537,                0.84048,                 0.9539,                 0.6996,                0.52387,                0.58957,                0.36112,                 1.1485,                0.66138,                0.96547,               0.002872,               0.002872,               0.002872
                     39,                 1.2494,                0.83795,                0.95312,                0.69383,                0.53215,                0.59386,                 0.3637,                 1.1475,                0.65882,                 0.9644,               0.002674,               0.002674,               0.002674
                     40,                  1.249,                0.83457,                0.95197,                0.72182,                0.52494,                0.59648,                0.36463,                 1.1464,                0.65875,                0.96432,               0.002476,               0.002476,               0.002476
                     41,                 1.2211,                0.80265,                0.95045,                0.72498,                0.52922,                0.59684,                0.36567,                 1.1475,                0.65962,                0.96377,               0.002278,               0.002278,               0.002278
                     42,                 1.2115,                0.79275,                0.94754,                 0.7176,                0.53001,                0.59546,                 0.3661,                 1.1473,                0.65783,                0.96313,                0.00208,                0.00208,                0.00208
                     43,                 1.2092,                0.78719,                0.94608,                0.72695,                0.52966,                0.59705,                0.36698,                 1.1463,                 0.6557,                 0.9637,               0.001882,               0.001882,               0.001882
                     44,                 1.2094,                0.78284,                0.94602,                0.73187,                0.52671,                0.59831,                0.36805,                 1.1438,                0.65375,                0.96287,               0.001684,               0.001684,               0.001684
                     45,                 1.2028,                0.77575,                0.94323,                 0.7348,                0.52258,                 0.5982,                 0.3677,                 1.1419,                0.65225,                0.96147,               0.001486,               0.001486,               0.001486
                     46,                 1.2002,                0.77311,                0.94176,                0.72456,                0.52542,                0.59719,                 0.3687,                 1.1417,                0.65087,                0.96144,               0.001288,               0.001288,               0.001288
                     47,                 1.1929,                0.76585,                0.94198,                0.72628,                 0.5247,                0.59766,                 0.3685,                 1.1416,                0.64943,                0.96153,                0.00109,                0.00109,                0.00109
                     48,                 1.1871,                0.76035,                0.93908,                0.72975,                0.52252,                0.59794,                0.36869,                 1.1418,                 0.6486,                0.96123,               0.000892,               0.000892,               0.000892
                     49,                 1.1857,                0.75562,                0.93879,                0.72221,                0.53022,                0.60028,                0.36969,                 1.1413,                0.64786,                0.96052,               0.000694,               0.000694,               0.000694
                     50,                 1.1792,                0.74965,                0.93677,                 0.7284,                0.52623,                0.60018,                0.37006,                  1.141,                0.64732,                0.96024,               0.000496,               0.000496,               0.000496
